SNAP
SNOW
ROL
TSN
LYV
FDX
CCI
DE
LMT
KL
LNG
LIN
FNF
CLVT
PAYX
RNG
CE
TRP
TER
CUK
WHR
LYB
TWLO
MAR
WIT
SPGI
MMC
CERN
BLL
BBVA
GDDY
WB
BHC
TMO
BG
WPM
CVNA
BRO
ZEN
VRTX
SHOP
HSIC
TEF
KLAC
ALL
SSNC
IBKR
FANG
VLRS
PPG
DTE
STM
NTES
TTWO
EVRG
HMC
CG
SHW
CCK
TUYA
BBL
YUM
WM
SYK
INCY
FRO
ETR
NTR
TRV
MTB
ADSK
SCCO
BNS
ZTS
TT
CME
W
HSBC
AWK
ES
SWK
CDAY
AON
LHX
NOC
DAR
HTHT
AMH
ABB
SIVB
TSCO
LDOS
NTAP
LNT
INTU
PHG
ITW
GDRX
ARMK
ROST
MUFG
BAP
AEE
HDB
DLTR
LKQ
RSG
EMN
STNE
SMFG
ALLE
CPRT
XPO
RPRX
VRSK
GPN
VMW
CGNX
DNB
WLTW
BIIB
EWBC
ZBH
SBNY
ANTM
NTRS
SSL
QSR
HAS
SQM
APD
WSM
TU
RY
CI
BKI
QRVO
HUBS
CPT
CSL
NWG
PWR
TXT
CHRW
NSC
ISRG
ECL
BUD
EC
TROW
FRC
REGN
PLTK
XP
REG
HZNP
FBHS
SAP
RH
IFF
SRE
BXP
ILMN
DEO
GD
BSBR
ODFL
TRMB
PANW
WCN
NOW
SJM
CDW
SEDG
WAL
DT
VRSN
WEC
ORAN
PH
GPC
MCO
OC
CTXS
FTNT
ACGL
AGCO
AOS
CTLT
BMRN
EXPD
EL
URI
VEDL
CHTR
DLR
SGEN
GLPI
KEYS
ROK
HSY
NDAQ
CMI
NVCR
SBAC
MCK
SNPS
ENTG
BSY
PRAH
STZ
MHK
ICLR
AQN
AEM
DRI
GRMN
FND
STE
MIDD
PKI
DVA
IT
GGG
KMX
WTRG
DOV
IEX
WPC
AVB
AJG
OSH
EXR
ELS
ABC
AME
MSI
ALGN
NVO
WLK
CINF
UHS
GNRC
QGEN
OTEX
NGG
MGP
SNN
JKHY
ARE
FIVE
L
AAP
WMG
LOGI
JBHT
DOX
TREX
VMC
AMP
PTC
BSAC
BEPC
BILL
AGR
CRH
PSA
BLK
SLF
BAH
WFG
LH
SNA
AGL
FMC
PODD
XYL
PBA
CCEP
ULTA
HUM
LSPD
ALC
TTD
TW
J
MSCI
RELX
CBOE
SONY
ESTC
MPWR
DXCM
AVY
LW
TTC
WRB
TRI
IAC
RPM
RJF
AVLR
VEEV
BRKR
FIVN
LFC
MTN
ATO
CMG
DPZ
EQIX
CM
LEA
CAE
MAA
ATHM
MKSI
POOL
ROP
GL
MASI
BURL
LII
FNV
ORLY
LPLA
ZBRA
FFIV
TDG
WST
MELI
LSXMA
CRL
MKTX
RGEN
IDXX
RCI
TSEM
RS
FLT
ABMD
PAYC
SKM
NICE
PKG
RMD
BR
SAM
CNA
DLB
SJR
NTCO
ANSS
ANET
FICO
BKNG
CTAS
WSO
AFG
OLED
SUI
CSAN
WEX
E
RACE
SMG
IPGP
CAJ
BCH
COO
NDSN
PEGA
MLM
WAT
FMX
RYAAY
EPAM
LAD
MOH
HUBB
AZPN
RDY
AZO
ESS
HEI
TDY
GWW
RE
PCTY
CSGP
VIACA
TYL
SHG
TLK
KEP
PEN
ICL
TFX
GIB
SNP
HEI.A
TECH
MORN
FMS
PKX
PUK
PTR
SOJE
FWONA
BIO
MTD
WBK
WPP
UI
PFH
AQNB
IHG
CHT
LBRDA
DRUA
DTB
ACH
DUKB
DOOO
ERIE
SREA
SOJD
BDXB
UHAL
HGH
SOJB
TPL
PRS
MKL
ENBA
BF.A
BATRA
CMSD
DUKH
DTJ
CMSC
DTW
CABO
JHX
IX
AQNA
SOJC
NVR
AFGB
DTY
ESLT
AFGC
CEA
FERG
CMSA
ZNH
AMOV
AFGD
MTCN
WALA
AFGE
